Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
227,5110,0.1132077736,2.116699,-67.14966,0.02412109,0.9007568,0.1856018,0.05674438,-67.805,0.03125,0.02919,0.4396165533,1.155032519,0.852215006,0.8152618638,1.1518,0.9662,0.4549,0.5307,0.08058,0.1717,0.0122192828,0.330240011
228,5119,0.09414175114,15.8667,-65.27466,0.07412109,0.3382568,-0.01127319,0.07861938,-62.348,0.02585,0.02413,0.5772753331,1.203578433,0.847917776,0.8105338791,1.1735,0.9617,0.4597,0.6658,0.04978,0.149,0.0122608533,0.238640025
229,5129,0.1209091287,9.841309,-69.29321,0.1213867,0.5574951,0.03504028,-0.06168823,-62.858,0.02359,0.02202,0.5635971274,1.19875476,1.073744193,1.026472165,1.2797,0.9403,0.4839,0.587,0.06441,0.1559,0.0122435056,0.23437497
230,5135,0.1223447889,2.341309,-65.54321,0.02138672,0.1824951,0.07879028,-0.01793823,-62.114,0.02431,0.0227,0.5836141602,1.205813846,1.110537201,1.061546523,1.2815,0.939,0.4887,0.5069,0.07697,0.1561,0.0122508267,0.264860034
231,5203,0.1277646752,5.622559,-67.34009,0.02763672,0.4715576,-0.01691284,0.01213989,-63.215,0.0237,0.02212,0.5541317405,1.195416753,1.123619869,1.074200496,1.2638,0.9432,0.4815,0.5282,0.07615,0.1614,0.0123135336,0.225934952
232,5243,0.09118896551,10.93506,-66.24634,0.1401367,0.9246826,0.02136841,0.1816711,-63.19,0.02763,0.0258,0.5547917015,1.195649491,0.8023570029,0.767061676,1.1255,0.9722,0.4453,0.7096,0.04389,0.1511,0.0121722063,0.269334912
233,5273,0.1017028788,8.513184,-64.56665,0.08076172,0.7410889,0.02000122,0.1037415,-62.244,0.02564,0.02394,0.5800876382,1.204570204,0.9197196854,0.8791588906,1.1503,0.9665,0.4547,0.6095,0.05964,0.1527,0.012272737,0.260415077
234,5317,0.1061937473,4.294434,-62.61353,0.07451172,0.9207764,0.1047668,0.09006958,-61.415,0.02534,0.02366,0.6027924429,1.212577143,0.9825194184,0.9390960804,1.1676,0.9622,0.4631,0.4856,0.07882,0.1532,0.0123194773,0.301500082
235,5321,0.08803718352,15.54443,-68.23853,0.3245117,0.2332764,-0.04835815,0.02444458,-61.129,0.02581,0.0241,0.6107470884,1.21538238,0.818591088,0.7823865369,1.218,0.9524,0.4707,0.7309,0.0383,0.1423,0.0122750252,0.209414944
236,5343,0.1240546268,9.919434,-68.55103,0.04951172,0.7645264,-0.1467957,-0.07399292,-64.296,0.02493,0.02327,0.5259978739,1.185495234,1.054768095,1.008519457,1.2072,0.9549,0.4666,0.572,0.07093,0.1657,0.0122557664,0.144560024
237,5345,0.1230041759,0.8569336,-69.64478,0.2120117,0.6864014,-0.0319519,0.1939758,-61.949,0.02427,0.02265,0.5881081069,1.207398654,1.120799569,1.071334811,1.2562,0.9451,0.4781,0.617,0.05962,0.1557,0.0120272152,0.23864001
238,5361,0.1045985055,16.48193,-66.20728,0.03701172,0.9676514,-0.0647644,0.05178833,-65.302,0.02798,0.02613,0.5004932673,1.176500933,0.8606117503,0.8229892215,1.0987,0.9777,0.4411,0.582,0.06882,0.1646,0.0122075323,0.205359995
239,5367,0.1064209379,13.98193,-69.95728,0.1370117,0.3426514,-0.1085144,0.09553833,-63.483,0.02479,0.02315,0.5470838641,1.192931292,0.9268005889,0.8860677397,1.2414,0.9484,0.4727,0.6646,0.05171,0.1542,0.011997181,0.189440027
240,5389,0.08990226811,9.567871,-65.21118,0.06044922,0.5906982,-0.043573,0.0661438,-63.94,0.02883,0.02692,0.5351774309,1.188732441,0.7736160079,0.7396566142,1.1026,0.9768,0.4419,0.6708,0.0507,0.154,0.0122257369,0.221759975
241,5411,0.1123751609,16.75537,-67.55493,0.07294922,0.6375732,0.005645752,-0.07057495,-63.014,0.02402,0.02242,0.5594500672,1.197292282,0.9928195033,0.949127967,1.2341,0.9497,0.4716,0.5995,0.06222,0.1554,0.0122696254,0.217614874
242,5463,0.1016193039,5.036621,-68.25806,0.1916992,0.3797607,0.08494263,0.07981567,-63.491,0.02515,0.02348,0.5468742316,1.192857364,0.8863483364,0.8473933787,1.2096,0.9546,0.4663,0.6708,0.04972,0.1511,0.0123207793,0.287535071
243,5477,0.1111814588,15.34912,-64.35181,0.004199219,0.8641357,-0.1283386,0.09622192,-63.842,0.02647,0.02471,0.5377189553,1.18962872,0.9583587207,0.9162799676,1.132,0.97,0.4532,0.5156,0.0796,0.1643,0.0119237844,0.177814931
244,5505,0.1022617058,5.270996,-68.92212,0.06357422,0.1727295,-0.08595581,0.155011,-65.608,0.02672,0.02495,0.4928586718,1.173808563,0.8335807752,0.7971755961,1.1706,0.9626,0.4571,0.6633,0.05359,0.1592,0.0119417896,0.205359966
245,5512,0.1035996082,11.521,-68.29712,0.01357422,0.6102295,0.1109192,0.176886,-67.802,0.02804,0.02618,0.4396874669,1.155057527,0.7794742642,0.7456762939,1.152,0.9664,0.4527,0.5569,0.07306,0.1649,0.0122966608,0.320540041
246,5531,0.1101776499,0.8959961,-64.85962,0.03857422,0.01647949,0.05623169,-0.05280151,-62.276,0.02444,0.02281,0.5792214727,1.204264747,0.9957798365,0.9518701119,1.2142,0.9528,0.4721,0.577,0.0648,0.1532,0.012226847,0.24725987
247,5557,0.0900152818,13.0835,-62.20337,0.02607422,0.1883545,0.08357544,0.1604797,-61.517,0.02625,0.02451,0.5999707984,1.211582079,0.8301152572,0.7934363847,1.1594,0.9644,0.4578,0.6208,0.05548,0.1463,0.0122863771,0.301499933
248,5567,0.0860262846,4.333496,-67.82837,0.2760742,0.2508545,0.01795044,-0.1238953,-63.561,0.02784,0.026,0.5450417927,1.192211147,0.7488357919,0.7159290033,1.155,0.9656,0.4547,0.7384,0.03857,0.1474,0.0121494001,0.217614949
249,5575,0.1143235508,6.364746,-62.90649,0.007324219,0.321167,-0.03947144,-0.03912964,-60.318,0.02358,0.02201,0.6336572888,1.223461753,1.087223586,1.03904666,1.2197,0.951,0.4769,0.5369,0.07056,0.1524,0.0123208491,0.201334909
250,5588,0.1121226404,15.73975,-68.84399,0.03232422,0.789917,0.01521606,0.1905579,-66.764,0.02642,0.02466,0.4645102435,1.163811377,0.8766598236,0.8385158164,1.1664,0.9637,0.4545,0.5945,0.06756,0.1666,0.0121459896,0.269335002
251,5595,0.09446139349,9.489746,-66.96899,0.1823242,0.852417,0.1245911,0.1686829,-63.098,0.02599,0.02427,0.5572240758,1.196507278,0.833488036,0.7968154336,1.1744,0.962,0.4567,0.6859,0.0468,0.149,0.0123100849,0.325374961
252,5597,0.115461961,1.989746,-68.21899,0.08232422,0.477417,0.1683411,0.1249329,-64.957,0.02741,0.02559,0.5091689214,1.179560437,0.9621323308,0.9200269378,1.2537,0.9456,0.4772,0.5632,0.06961,0.1594,0.0123098763,0.340059996
253,5603,0.0972537061,8.552246,-69.93774,0.2698242,0.08679199,0.1081848,-0.1430359,-63.998,0.0253,0.02362,0.5336762441,1.188203042,0.8349558649,0.7983133812,1.2373,0.9494,0.4707,0.6959,0.04523,0.1487,0.0118868295,0.264859945
254,5615,0.09836497694,12.30225,-64.31274,0.1198242,0.774292,-0.04494019,0.1413391,-60.554,0.02529,0.02361,0.6269355327,1.221091299,0.9291870641,0.8880336406,1.1623,0.9643,0.4554,0.6483,0.05218,0.1484,0.0120913163,0.230140045
255,5731,0.1071349643,7.438965,-63.79517,0.05498047,0.9569092,0.08938599,0.11297,-63.03,0.02881,0.0269,0.5590256902,1.197142624,0.947794157,0.9060810498,1.1527,0.9655,0.4583,0.4856,0.08113,0.1577,0.0123174582,0.296815008
256,5767,0.104257408,16.89209,-69.14673,0.01435547,0.02331543,0.0442688,0.08425903,-65.894,0.02539,0.0237,0.4857733738,1.171309905,0.8406377191,0.8039583996,1.2381,0.9493,0.4705,0.6008,0.06282,0.1573,0.0123098204,0.269335061
257,5774,0.1014434354,0.6420898,-68.52173,0.06435547,0.7108154,-0.1088562,0.06238403,-66.705,0.02991,0.02794,0.4659387318,1.16431514,0.7958046444,0.7611698706,1.0963,0.9783,0.44,0.6683,0.05522,0.1665,0.0120718507,0.185535073
258,5807,0.1232699017,1.57959,-68.05298,0.1018555,0.5701904,0.04973755,-0.08527222,-63.171,0.02591,0.02419,0.5552935602,1.195826474,1.085541118,1.037788012,1.2474,0.9468,0.476,0.5432,0.07262,0.159,0.0121743763,0.23864007
259,5811,0.08840522196,4.70459,-62.11548,0.07685547,0.1014404,-0.1362,0.05691528,-60.171,0.02824,0.02637,0.6378674012,1.224946466,0.8438461339,0.8064348732,1.1244,0.9718,0.45,0.6696,0.04841,0.1465,0.0119911991,0.174000025
260,5817,0.08711460231,13.45459,-67.74048,0.2268555,0.4139404,0.148175,-0.008709717,-63.612,0.02658,0.02481,0.5437088107,1.191741066,0.7567270979,0.7234793711,1.1943,0.958,0.4607,0.6596,0.04955,0.1455,0.0121562826,0.301499993
261,5853,0.09572786888,17.67334,-67.34985,0.1331055,0.9530029,-0.007684326,0.06511841,-63.149,0.02646,0.02471,0.5558749712,1.196031511,0.8422462685,0.8051927622,1.1524,0.9665,0.4516,0.6946,0.0464,0.1519,0.0122806253,0.238639995
262,5865,0.09673923169,0.4858398,-63.7561,0.1706055,0.9373779,0.1727844,0.07058716,-61.549,0.02886,0.02695,0.5990872225,1.211270482,0.8918184097,0.8524134972,1.163,0.9636,0.4587,0.5832,0.0618,0.1483,0.0122564565,0.330239892
263,5921,0.09270138538,5.837402,-66.54907,0.156543,0.5760498,-0.1122742,0.04802856,-62.682,0.0275,0.02567,0.5682964482,1.200411994,0.827880432,0.791411381,1.1396,0.9689,0.4509,0.7009,0.04522,0.1512,0.0120936213,0.181660026
264,5927,0.1014136113,3.337402,-67.79907,0.05654297,0.2010498,-0.06852417,0.09177856,-65.114,0.02696,0.02518,0.50521184,1.178164957,0.8407262132,0.8039520298,1.1552,0.9656,0.4549,0.6546,0.0547,0.1583,0.012125304,0.209415019
265,5941,0.09976995808,3.962402,-69.36157,0.481543,0.1697998,0.05178833,0.05896606,-60.986,0.02484,0.02319,0.6147484394,1.216793472,0.932345557,0.8910958918,1.2548,0.9449,0.4798,0.7046,0.04253,0.144,0.0123204039,0.269335061
266,5957,0.1014113116,0.3686523,-68.65845,0.250293,0.0369873,0.08186646,-0.003924561,-63.659,0.02557,0.02387,0.5424819238,1.191308399,0.8801206537,0.8414575804,1.2103,0.9543,0.4674,0.6708,0.04971,0.151,0.0122665567,0.269334942
267,5967,0.09671340352,11.61865,-61.78345,0.0002929688,0.4744873,0.01624146,0.06170044,-61.558,0.02615,0.02441,0.598838858,1.211182896,0.8910179525,0.8516522119,1.1434,0.9676,0.4555,0.582,0.06305,0.1508,0.0123054041,0.251615047
268,5971,0.106876216,14.74365,-68.34595,0.175293,0.9432373,0.158429,-0.1023621,-62.558,0.02396,0.02237,0.5716205649,1.201584257,0.9571049299,0.9149332354,1.2512,0.9465,0.4748,0.6233,0.0566,0.1502,0.011882659,0.292159945
269,5999,0.08546046156,0.6811523,-67.2522,0.562793,0.8651123,0.01077271,0.08904419,-60.402,0.02706,0.02527,0.6312595515,1.222616182,0.8106990722,0.7747780191,1.1866,0.9586,0.4651,0.761,0.03359,0.1405,0.0122772772,0.251614958
270,6013,0.093103861,1.306152,-65.6897,0.187793,0.7713623,0.1529602,0.03435669,-63.131,0.02929,0.02736,0.5563509201,1.196199356,0.8211695969,0.7850391338,1.1516,0.9663,0.4542,0.6608,0.05071,0.1495,0.0122296447,0.310960114
271,6021,0.1233187723,14.97803,-68.85376,0.05341797,0.7362061,-0.01246948,-0.0326355,-64.274,0.02395,0.02236,0.5265627654,1.185694445,1.049000666,1.003003518,1.2475,0.947,0.4752,0.5557,0.07213,0.1623,0.0123173716,0.217614919
272,6035,0.09495501568,0.6030273,-69.16626,0.378418,0.2674561,-0.08903198,-0.109198,-62.449,0.02685,0.02507,0.5745516817,1.202617927,0.8534707622,0.8158512945,1.1925,0.9576,0.4648,0.7297,0.04012,0.1484,0.0123162735,0.162734911
273,6059,0.09380913751,1.540527,-66.51001,0.06591797,0.5330811,-0.02887573,0.1806458,-65.269,0.02962,0.02766,0.5013199725,1.176792474,0.7739178499,0.7400807299,1.0995,0.9774,0.4422,0.6708,0.05216,0.1585,0.0120599223,0.242935032
274,6083,0.1066047214,13.57178,-62.99438,0.02216797,0.7596436,-0.1136414,0.1505676,-61.452,0.02541,0.02372,0.6017679802,1.212215862,0.9838799511,0.9404002638,1.1514,0.966,0.4569,0.5482,0.07031,0.1556,0.011853151,0.189439952
275,6095,0.09143198764,7.321777,-68.61938,0.372168,0.07214355,0.1707336,-0.1338074,-62.926,0.02541,0.02372,0.561787337,1.19811653,0.8106849042,0.7749991714,1.2361,0.9495,0.4714,0.6496,0.05061,0.1444,0.0117558697,0.296815008
276,6105,0.1191988319,17.94678,-68.30688,0.09716797,0.9158936,0.07229614,-0.05724487,-62.986,0.02348,0.02192,0.5601931567,1.197554336,1.053947922,1.007563827,1.2577,0.945,0.4774,0.5494,0.07075,0.157,0.0121918861,0.256000012
277,6125,0.1289313918,0.1342773,-60.33813,0.009667969,0.9627686,-0.09723511,0.02478638,-59.834,0.02499,0.02333,0.6475875822,1.228374326,1.241251598,1.18618474,1.3497,0.9161,0.5386,0.1001,0.145,0.1611,0.0121838562,0.185535029
278,6129,0.1068616227,3.259277,-69.40063,0.184668,0.4940186,0.1105774,0.1232239,-64.335,0.0282,0.02633,0.5249972411,1.185142357,0.9081834727,0.8683643756,1.2223,0.9522,0.4684,0.6408,0.05547,0.1544,0.0123199103,0.310959846
279,6135,0.1050980842,5.759277,-65.65063,0.08466797,0.8690186,0.06682739,0.1669739,-63.576,0.02878,0.02688,0.5446495574,1.192072824,0.9147391162,0.8745431666,1.1475,0.9672,0.4531,0.5745,0.06672,0.1568,0.0122622931,0.292160034
280,6161,0.09035507621,14.84619,-69.57397,0.155957,0.7906494,-0.02485962,-0.008282471,-65.239,0.02806,0.0262,0.5020720958,1.177057713,0.744864016,0.7122949062,1.1479,0.9675,0.4503,0.7334,0.04093,0.1535,0.0123183345,0.217615008
281,6167,0.1034374789,17.34619,-65.82397,0.05595703,0.4156494,0.01889038,-0.05203247,-62.414,0.02448,0.02285,0.5754946842,1.20295048,0.9297685311,0.8887848978,1.2148,0.9535,0.4678,0.6258,0.0567,0.1515,0.012278189,0.23014006
282,6179,0.1004359628,4.533691,-62.85522,0.04345703,0.4625244,0.1993591,0.01906128,-62.478,0.02573,0.02403,0.5737710074,1.202342619,0.9028719365,0.8630793483,1.2077,0.9536,0.4734,0.5607,0.06618,0.1507,0.0121210897,0.330239981
283,6219,0.1009034131,10.31494,-66.37085,0.09970703,0.2359619,0.1091248,-0.0383606,-63.047,0.02467,0.02304,0.5585749851,1.196983681,0.8916739466,0.8524365269,1.2174,0.9529,0.4685,0.6308,0.05547,0.1502,0.0121646058,0.27384001
284,6221,0.09255114275,17.81494,-67.62085,0.199707,0.6109619,0.06537476,0.005389404,-62.196,0.02551,0.02382,0.5813882926,1.205028885,0.8367483656,0.7998422743,1.2074,0.9551,0.4654,0.7046,0.04305,0.1457,0.0122937402,0.264859974
285,6273,0.1223560399,13.67432,-64.22241,0.04658203,0.9742432,0.06947632,0.06691284,-61.9,0.02384,0.02226,0.5894465737,1.207870669,1.116537476,1.067254751,1.2482,0.9448,0.4851,0.4293,0.09062,0.1588,0.0123209376,0.278375059
286,6299,0.1000832922,18.04932,-69.53491,0.07158203,0.8179932,-0.1164612,-0.1408997,-66.297,0.02772,0.02588,0.4758703835,1.167817576,0.7945642897,0.7599384726,1.1342,0.9704,0.4465,0.6746,0.05262,0.1617,0.0123137012,0.144559994
287,6313,0.090591162,7.736816,-62.81616,0.134082,0.4273682,0.1077576,-0.1135559,-60.738,0.02576,0.02405,0.6217263771,1.21925427,0.8526456197,0.8148986123,1.1591,0.9645,0.4575,0.6471,0.05098,0.1445,0.011974833,0.264860004
288,6319,0.1102301683,0.2368164,-61.56616,0.03408203,0.8023682,0.06400757,-0.06980591,-61.233,0.02733,0.02551,0.6078471153,1.214359693,1.024936559,0.9796152136,1.167,0.9619,0.4653,0.4368,0.08745,0.1553,0.0121807931,0.247260034
289,6325,0.1254349031,5.861816,-66.87866,0.05908203,0.8961182,-0.1000549,0.07238159,-63.301,0.0247,0.02306,0.5518647579,1.194617293,1.100338813,1.051954209,1.1893,0.9584,0.4633,0.5244,0.07824,0.1645,0.0120766368,0.193375066
290,6343,0.09471046756,14.76807,-67.58179,0.07783203,0.5289307,0.1542419,-0.1272278,-65.712,0.02689,0.02511,0.4902766231,1.172897993,0.7690451057,0.7354693697,1.1814,0.9606,0.4581,0.6095,0.06024,0.1543,0.0118178464,0.287535071
291,6350,0.1137439367,8.518066,-69.45679,0.02783203,0.2164307,-0.04263306,-0.1053528,-65.652,0.0251,0.02343,0.4917654849,1.173423046,0.9254976311,0.8850849088,1.223,0.952,0.469,0.617,0.06195,0.1618,0.0122819971,0.189439923
292,6365,0.123791354,19.14307,-63.51929,0.002832031,0.6851807,-0.009820557,0.03683472,-60.664,0.02275,0.02123,0.6238180665,1.219991912,1.165226306,1.113636567,1.2853,0.9374,0.493,0.4593,0.08433,0.156,0.0123031344,0.234374955
293,6387,0.09781492789,6.955566,-61.17554,0.01533203,0.6070557,-0.02622681,-0.08894653,-60.974,0.02652,0.02476,0.6150849525,1.216912145,0.9153568404,0.8748558852,1.1195,0.9725,0.4517,0.5682,0.06539,0.1514,0.0122834863,0.201334968
294,6389,0.09555818846,4.455566,-64.92554,0.115332,0.2320557,0.01752319,-0.1326965,-62.218,0.02603,0.0243,0.5807919496,1.204818582,0.8649442016,0.8267960892,1.1575,0.9648,0.4573,0.6583,0.05095,0.1491,0.0121291745,0.217614949
295,6393,0.09894507115,15.70557,-69.30054,0.265332,0.9195557,0.03939819,0.1516785,-61.456,0.0249,0.02324,0.6016572906,1.212176827,0.9124683751,0.8721459915,1.2384,0.9489,0.4726,0.7034,0.0433,0.146,0.0122435801,0.278375089
296,6405,0.107863852,7.619629,-69.59351,0.2387695,0.5465088,0.1904724,0.1359558,-63.125,0.02429,0.02267,0.5565096195,1.196255322,0.9507421833,0.9089155588,1.2924,0.9382,0.4854,0.6295,0.05561,0.1501,0.012304225,0.349999964
297,6419,0.1216998846,16.99463,-69.90601,0.1137695,0.4527588,0.09203491,0.05939331,-62.564,0.02327,0.02172,0.5714594671,1.201527445,1.088972515,1.040991786,1.3432,0.9283,0.4976,0.577,0.06544,0.1547,0.0123136919,0.287534863
298,6461,0.1003973079,9.182129,-67.24976,0.1012695,0.2808838,0.04281616,-0.06638794,-63.738,0.02542,0.02373,0.5404230417,1.190582326,0.8691093044,0.8309387764,1.193,0.9579,0.4626,0.6571,0.05228,0.1525,0.0122238025,0.238639921
299,6473,0.1082200198,17.77588,-66.70288,0.03251953,0.5230713,-0.03101196,0.08947144,-63.498,0.02469,0.02305,0.5466908387,1.19279269,0.9423881255,0.9009715191,1.2097,0.9546,0.4662,0.6095,0.06095,0.1561,0.0122134527,0.230139956
300,6497,0.104130506,3.713379,-65.60913,0.1450195,0.06994629,-0.04741821,-0.09099731,-61.046,0.02463,0.02299,0.613067585,1.216200712,0.9722005054,0.9291947285,1.2031,0.9552,0.4686,0.6421,0.0534,0.1492,0.0123019945,0.189440072
301,6517,0.08760841771,6.838379,-67.79663,0.4200195,0.6636963,0.1166443,-0.1019348,-61.559,0.02605,0.02432,0.5988112658,1.211173165,0.8067322341,0.7710904475,1.2078,0.9548,0.4666,0.7447,0.0362,0.1418,0.0119867437,0.269334972
302,6543,0.09763188283,4.416504,-69.55444,0.3356445,0.56604,0.1043396,0.09083862,-63.054,0.02539,0.02371,0.5583894591,1.196918255,0.8624239435,0.8244741502,1.2243,0.9517,0.4695,0.7084,0.04305,0.1476,0.0123196859,0.301499903
303,6583,0.1104715595,3.479004,-67.21069,0.02314453,0.362915,0.1316833,-0.02400513,-65.641,0.02547,0.02378,0.492038674,1.173519388,0.8998916202,0.8605950443,1.2049,0.9553,0.4662,0.577,0.06788,0.1605,0.012153836,0.287534982
304,6613,0.087835762,0.1977539,-66.35132,0.2168945,0.4019775,-0.02417603,0.03341675,-63.067,0.02841,0.02653,0.5580450013,1.19679678,0.776068574,0.7419170319,1.1269,0.9714,0.4495,0.7259,0.04092,0.1493,0.0122934608,0.225935027
305,6623,0.08652653684,11.44775,-63.22632,0.06689453,0.08947754,0.04144897,0.01154175,-61.85,0.02711,0.02531,0.5908142078,1.208352971,0.790857273,0.7559419909,1.1421,0.9682,0.4531,0.6683,0.04834,0.1458,0.0123139201,0.251615018
306,6637,0.1053419424,1.760254,-69.32007,0.1293945,0.6676025,-0.09526978,-0.004864502,-65.18,0.02709,0.02529,0.5035528676,1.177579914,0.8712114274,0.833111387,1.1516,0.9665,0.4528,0.6733,0.05248,0.1606,0.0122409053,0.181659997
307,6675,0.118698327,2.717285,-65.77515,0.06455078,0.9771729,-0.0819397,0.1308289,-63.357,0.02578,0.02407,0.5503913087,1.194097675,1.03993116,0.9942085777,1.1407,0.9686,0.4518,0.5219,0.07844,0.1641,0.0120061049,0.205360085
308,6677,0.1202400628,5.217285,-69.52515,0.1645508,0.3521729,-0.1256897,0.1745789,-61.899,0.02509,0.02342,0.589473908,1.207880309,1.096832761,1.048417753,1.2666,0.9426,0.4824,0.6208,0.05898,0.1555,0.0117532955,0.185535088
309,6787,0.09791010567,4.04541,-60.42358,0.1364258,0.7857666,0.12724,-0.07835083,-58.385,0.02455,0.02292,0.6905139305,1.243512473,0.9737898142,0.930452322,1.1792,0.9596,0.4668,0.5282,0.06753,0.1431,0.0120282099,0.27837497
310,6806,0.1336182458,15.92041,-67.61108,0.01142578,0.9420166,0.1163025,0.1075867,-66.252,0.02456,0.02293,0.4769715476,1.168205906,1.064671023,1.018270012,1.2706,0.9413,0.4856,0.4643,0.09278,0.1732,0.0123203723,0.310959995
311,6867,0.0913216309,12.01416,-66.75171,0.2676758,0.3092041,0.1955994,0.1814148,-61.95,0.02489,0.02324,0.5880808099,1.207389027,0.8320773301,0.7953543575,1.2506,0.9466,0.4749,0.6283,0.05315,0.143,0.01231982,0.365135014
312,6884,0.09703726183,4.82666,-66.90796,0.03017578,0.5748291,-0.07236938,-0.130304,-66.028,0.02936,0.02741,0.4824701636,1.170145014,0.7799245848,0.7459063735,1.0951,0.9784,0.4411,0.6596,0.05534,0.1626,0.012284914,0.170215011
313,6909,0.1108485143,4.20166,-69.09546,0.2551758,0.4810791,0.1135681,-0.03186646,-62.223,0.02405,0.02245,0.5806564667,1.204770803,1.002532112,0.9583191606,1.2672,0.9427,0.4813,0.632,0.05526,0.1502,0.012170502,0.27837497
314,6975,0.1280633462,18.2251,-68.72437,0.01611328,0.4674072,0.1662048,0.05768433,-64.192,0.02317,0.02163,0.528671023,1.186437931,1.092282691,1.044376619,1.3844,0.9197,0.5098,0.4981,0.08078,0.161,0.0122470325,0.3205401
315,6987,0.09660161496,9.943848,-68.02124,0.1473633,0.7095947,-0.06621704,-0.141925,-63.632,0.02672,0.02495,0.54318655,1.191556889,0.8385838301,0.8017416322,1.1571,0.9654,0.4538,0.6996,0.04597,0.153,0.0122607676,0.170214996
316,6989,0.1054739523,2.443848,-66.77124,0.04736328,0.08459473,-0.109967,-0.09817505,-63.675,0.02603,0.0243,0.542064598,1.191161228,0.9151827816,0.8749809236,1.1739,0.9615,0.4606,0.6408,0.05631,0.1568,0.012319359,0.155375063
317,7011,0.1178685981,14.00635,-69.11499,0.03486328,0.1314697,-0.1044983,0.0276062,-63.538,0.02389,0.0223,0.5456435147,1.192423347,1.025028366,0.9799863085,1.283,0.94,0.4834,0.6033,0.06268,0.158,0.0121597331,0.181659982
318,7067,0.1048294031,2.209473,-66.02905,0.1192383,0.3463135,0.05819702,-0.03665161,-62.667,0.02503,0.02337,0.5686979753,1.200553594,0.9369359596,0.8956638972,1.1894,0.9583,0.4642,0.622,0.05752,0.1522,0.0122504402,0.251615018
319,7077,0.08689305213,8.146973,-67.1228,0.3317383,0.2056885,0.1292908,0.06725464,-62.252,0.02617,0.02443,0.5798710266,1.204493815,0.785348953,0.7507146644,1.2009,0.9567,0.4623,0.7209,0.03986,0.1428,0.0122959474,0.306215048
320,7157,0.09758523888,15.17822,-60.63843,0.06298828,0.697876,0.1921814,-0.02844849,-59.727,0.02418,0.02258,0.6506939978,1.229469816,0.9410897174,0.8993298689,1.227,0.9497,0.4772,0.5457,0.06581,0.1448,0.0120165087,0.315735012
321,7167,0.1017891886,6.428223,-68.76343,0.2129883,0.760376,-0.0921936,0.08092651,-62.564,0.02579,0.02408,0.5714594671,1.201527445,0.9117143886,0.8715408114,1.1886,0.9588,0.4619,0.6934,0.04658,0.1519,0.0120818494,0.197339967
322,7199,0.1025829121,7.23877,-65.1062,0.09150391,0.8848877,0.02555542,-0.1400452,-62.853,0.02607,0.02434,0.5637303286,1.198801734,0.9119408762,0.8717892321,1.1328,0.9703,0.4498,0.6083,0.06071,0.155,0.0120932357,0.221760005
323,7211,0.09743052859,14.42627,-63.69995,0.004003906,0.9942627,-0.1439758,-0.06895142,-65.266,0.03191,0.02981,0.5013951602,1.176818989,0.8027240183,0.7676252234,1.046,0.9891,0.434,0.5181,0.08127,0.1687,0.0122524705,0.144559994
324,7217,0.1217572304,18.80127,-67.76245,0.07900391,0.8380127,0.1075867,0.07323608,-62.691,0.02313,0.02159,0.568055609,1.200327061,1.085782091,1.037958454,1.2976,0.9367,0.4888,0.5207,0.07527,0.157,0.0123130968,0.296814948
325,7237,0.09107151765,8.02002,-68.30933,0.1602539,0.0802002,-0.009991455,-0.08262329,-64.489,0.0271,0.0253,0.5210555487,1.183752303,0.7701225945,0.7363726727,1.1664,0.9635,0.4554,0.7121,0.04347,0.151,0.0122728236,0.209414855
326,7255,0.08615804992,9.89502,-69.87183,0.5852539,0.0489502,0.132196,-0.1154358,-62.039,0.02606,0.02433,0.5856543596,1.20653333,0.7828186039,0.7482761342,1.2482,0.9469,0.4751,0.7522,0.03479,0.1404,0.0119090937,0.278375089
327,7277,0.125961563,13.33252,-69.40308,0.07275391,0.5020752,0.01735229,0.09784546,-63.142,0.02339,0.02183,0.5560600358,1.196096774,1.109000102,1.060213958,1.3086,0.9347,0.4905,0.5594,0.06998,0.1588,0.0122757852,0.256000012
328,7287,0.0988718787,17.70752,-64.09058,0.04775391,0.6583252,0.1157898,-0.08809204,-62.684,0.02524,0.02356,0.5682429234,1.200393118,0.8825249491,0.8436512162,1.1857,0.9592,0.462,0.5294,0.07121,0.1513,0.0120275868,0.27384007
329,7305,0.1233745931,3.566895,-64.83276,0.007128906,0.4434814,-0.02503052,0.1539001,-61.962,0.02377,0.02219,0.5877533042,1.207273531,1.124605049,1.074974267,1.2378,0.9478,0.4785,0.5069,0.07809,0.1584,0.0121178422,0.242934942
330,7322,0.1139671688,14.19189,-68.27026,0.03212891,0.9122314,0.007781982,0.01171265,-66.918,0.027,0.02521,0.4607907065,1.162499668,0.886326896,0.8477817305,1.1376,0.9694,0.4495,0.5607,0.07449,0.1696,0.0123205772,0.234375075
