percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,9.502472e-02,9.029698e-03,1.517719e-01,1.253554e-01,1.571399e-02,2.008386e-01,1.252427e-01,1.568574e-02,2.015228e-01
44,9.733948e-02,9.474974e-03,1.558592e-01,1.287299e-01,1.657147e-02,2.047684e-01,1.295511e-01,1.678348e-02,2.084826e-01
45,1.001534e-01,1.003069e-02,1.598186e-01,1.322563e-01,1.749174e-02,2.094338e-01,1.336147e-01,1.785291e-02,2.131788e-01
46,1.030182e-01,1.061275e-02,1.643771e-01,1.348232e-01,1.817728e-02,2.138693e-01,1.361218e-01,1.852920e-02,2.196069e-01
47,1.054568e-01,1.112115e-02,1.682333e-01,1.377344e-01,1.897076e-02,2.198003e-01,1.390902e-01,1.934608e-02,2.232691e-01
48,1.078790e-01,1.163789e-02,1.721044e-01,1.414960e-01,2.002112e-02,2.266360e-01,1.432986e-01,2.053451e-02,2.296803e-01
49,1.109250e-01,1.230435e-02,1.765472e-01,1.437839e-01,2.067381e-02,2.306700e-01,1.457089e-01,2.123116e-02,2.341245e-01
50,1.132545e-01,1.282659e-02,1.803928e-01,1.465797e-01,2.148562e-02,2.349328e-01,1.482430e-01,2.197597e-02,2.390628e-01
51,1.157730e-01,1.340339e-02,1.844142e-01,1.491568e-01,2.224776e-02,2.399158e-01,1.521511e-01,2.314996e-02,2.448273e-01
52,1.185146e-01,1.404570e-02,1.888873e-01,1.529500e-01,2.339370e-02,2.452754e-01,1.573929e-01,2.477252e-02,2.519937e-01
53,1.209166e-01,1.462082e-02,1.923483e-01,1.579831e-01,2.495867e-02,2.515022e-01,1.606271e-01,2.580108e-02,2.574729e-01
54,1.232504e-01,1.519067e-02,1.962071e-01,1.627881e-01,2.649996e-02,2.603080e-01,1.637379e-01,2.681012e-02,2.635469e-01
55,1.259789e-01,1.587067e-02,2.001660e-01,1.662125e-01,2.762658e-02,2.657134e-01,1.685650e-01,2.841421e-02,2.708738e-01
56,1.292395e-01,1.670285e-02,2.060047e-01,1.706622e-01,2.912560e-02,2.718277e-01,1.717601e-01,2.950153e-02,2.777355e-01
57,1.326158e-01,1.758695e-02,2.109746e-01,1.747101e-01,3.052362e-02,2.780349e-01,1.746581e-01,3.050543e-02,2.816579e-01
58,1.353886e-01,1.833008e-02,2.164410e-01,1.773869e-01,3.146612e-02,2.835436e-01,1.771541e-01,3.138357e-02,2.864174e-01
