subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,2.528075e-03,8.746147e-06,1.561608e-01,3.228716e-03,1.418340e-05,1.999821e-01,3.194707e-03,1.393410e-05,1.959095e-01
p90,5.255055e-03,4.060291e-05,3.219667e-01,6.867825e-03,7.050975e-05,4.197476e-01,6.723490e-03,6.728031e-05,4.066465e-01
p95,5.787973e-03,5.096184e-05,3.532535e-01,7.607124e-03,8.998356e-05,4.629848e-01,7.462669e-03,8.651616e-05,4.499455e-01
p99,6.377894e-03,6.590140e-05,3.877367e-01,8.448845e-03,1.194182e-04,5.113716e-01,8.289131e-03,1.152789e-04,4.965464e-01
