set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.004653284791857004,3.665404437924735e-05,0.2041184902191162,0.022207023575901985,0.07052893936634064,0.9983953833580017
va,0.005494597367942333,5.236607466940768e-05,0.24102306365966797,0.028229355812072754,0.10076170414686203,0.9977142214775085
te,0.004988681524991989,4.183472992735915e-05,0.21883083879947662,0.026240449398756027,0.08049750328063965,0.9977675080299377
