set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.006013493053615093,6.310191383818164e-05,0.009009753353893757,0.009598451666533947,0.00014164937601890415,0.9979242086410522
va,0.007118480745702982,9.261674858862534e-05,0.010665307752788067,0.011029627174139023,0.0002079034602502361,0.9971304535865784
te,0.007857541553676128,0.00012069184595020488,0.011772611178457737,0.011363785713911057,0.00027092560776509345,0.9961040019989014
