subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,9.313459e-04,1.186012e-06,1.993220e+00,1.128098e-03,1.688315e-06,2.448414e+00,1.090168e-03,1.628525e-06,2.336464e+00
p90,2.056007e-03,6.529336e-06,4.060521e+00,2.590985e-03,1.084718e-05,5.044338e+00,2.574057e-03,1.094449e-05,4.935136e+00
p95,2.312374e-03,8.723622e-06,4.404879e+00,3.000841e-03,1.603828e-05,5.520342e+00,3.049836e-03,1.759089e-05,5.515959e+00
p99,2.616608e-03,1.236636e-05,4.802573e+00,3.593100e-03,2.853412e-05,6.082683e+00,3.796939e-03,3.684750e-05,6.351728e+00
