percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,3.816669e-03,1.456696e-05,5.600381e-01,5.169060e-03,2.671921e-05,7.623285e-01,5.005304e-03,2.505307e-05,7.136423e-01
44,3.904240e-03,1.524309e-05,5.748089e-01,5.335035e-03,2.846260e-05,7.829043e-01,5.144231e-03,2.646312e-05,7.296543e-01
45,4.008651e-03,1.606929e-05,5.899909e-01,5.448902e-03,2.969054e-05,8.022674e-01,5.226374e-03,2.731498e-05,7.509426e-01
46,4.131916e-03,1.707273e-05,6.059173e-01,5.545800e-03,3.075589e-05,8.287271e-01,5.346043e-03,2.858031e-05,7.682659e-01
47,4.230065e-03,1.789345e-05,6.233100e-01,5.678129e-03,3.224117e-05,8.488380e-01,5.585763e-03,3.120075e-05,7.899845e-01
48,4.329851e-03,1.874761e-05,6.401107e-01,5.831788e-03,3.400980e-05,8.769970e-01,5.705183e-03,3.254911e-05,8.060949e-01
49,4.435952e-03,1.967767e-05,6.523861e-01,5.951860e-03,3.542465e-05,8.983996e-01,5.864540e-03,3.439286e-05,8.288205e-01
50,4.530072e-03,2.052155e-05,6.677633e-01,6.087899e-03,3.706252e-05,9.147755e-01,6.070733e-03,3.685380e-05,8.579021e-01
51,4.641299e-03,2.154166e-05,6.816362e-01,6.252956e-03,3.909946e-05,9.344082e-01,6.207048e-03,3.852744e-05,8.727987e-01
52,4.749746e-03,2.256009e-05,6.930345e-01,6.399682e-03,4.095592e-05,9.533230e-01,6.352689e-03,4.035666e-05,8.965073e-01
53,4.876339e-03,2.377869e-05,7.077650e-01,6.633379e-03,4.400175e-05,9.819301e-01,6.488129e-03,4.209582e-05,9.167573e-01
54,4.998732e-03,2.498732e-05,7.231546e-01,6.832449e-03,4.668237e-05,9.947521e-01,6.645789e-03,4.416652e-05,9.415567e-01
55,5.092704e-03,2.593564e-05,7.421858e-01,6.952810e-03,4.834160e-05,1.018694e+00,6.837481e-03,4.675116e-05,9.901744e-01
56,5.205059e-03,2.709264e-05,7.587800e-01,7.114747e-03,5.061967e-05,1.029637e+00,7.029502e-03,4.941390e-05,1.012711e+00
57,5.323925e-03,2.834418e-05,7.806550e-01,7.240067e-03,5.241857e-05,1.052365e+00,7.240440e-03,5.242397e-05,1.052415e+00
58,5.477536e-03,3.000340e-05,7.966524e-01,7.375801e-03,5.440244e-05,1.074221e+00,7.439039e-03,5.533931e-05,1.074276e+00
59,5.603945e-03,3.140420e-05,8.155652e-01,7.529757e-03,5.669727e-05,1.106876e+00,7.663741e-03,5.873295e-05,1.105457e+00
60,5.723715e-03,3.276091e-05,8.375170e-01,7.775927e-03,6.046526e-05,1.131684e+00,7.900000e-03,6.241000e-05,1.117066e+00
61,5.849845e-03,3.422069e-05,8.573926e-01,7.991397e-03,6.386257e-05,1.174821e+00,8.028759e-03,6.446096e-05,1.133579e+00
62,5.976217e-03,3.571517e-05,8.740550e-01,8.157499e-03,6.654479e-05,1.209971e+00,8.226130e-03,6.766922e-05,1.159980e+00
