set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.004306064452975988,3.2533411285839975e-05,1.4877228750265203e-05,0.007716861087828875,3.88340470891535e-10,0.9989098906517029
va,0.004657297860831022,3.726153227034956e-05,1.6090722056105733e-05,0.008486215025186539,4.4477849181490114e-10,0.9987612962722778
te,0.004317032638937235,3.1747582397656515e-05,1.4915120118530467e-05,0.008748111315071583,3.789602520676283e-10,0.9987093806266785
