set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.011422104202210903,0.00022591858578380197,0.006643098313361406,0.004030166193842888,7.641893171239644e-05,0.9950342774391174
va,0.015245402231812477,0.0004257874970789999,0.008866725489497185,0.0053427754901349545,0.00014402625674847513,0.9899858832359314
te,0.015070084482431412,0.00043832763913087547,0.008764762431383133,0.005232012365013361,0.00014826812548562884,0.9906837344169617
