subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,2.211198e-03,6.531059e-06,3.289737e-01,2.892873e-03,1.151263e-05,4.283188e-01,2.820513e-03,1.083303e-05,4.047134e-01
p90,4.539793e-03,3.012331e-05,6.692290e-01,6.107091e-03,5.526335e-05,9.025815e-01,6.142489e-03,5.680156e-05,8.744705e-01
p95,4.990322e-03,3.759879e-05,7.345925e-01,6.754323e-03,7.033278e-05,9.925445e-01,6.780862e-03,7.145353e-05,9.606335e-01
p99,5.483200e-03,4.813545e-05,8.051764e-01,7.466669e-03,9.196223e-05,1.094136e+00,7.576545e-03,9.768932e-05,1.071530e+00
