subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,5.461069e-02,4.035108e-03,8.715431e-02,7.144146e-02,6.870019e-03,1.139097e-01,6.951424e-02,6.713365e-03,1.120667e-01
p90,1.127376e-01,1.862417e-02,1.799505e-01,1.488389e-01,3.281945e-02,2.376036e-01,1.452019e-01,3.112174e-02,2.342117e-01
p95,1.237476e-01,2.311294e-02,1.975500e-01,1.647486e-01,4.187520e-02,2.630963e-01,1.601450e-01,3.919590e-02,2.585091e-01
p99,1.356145e-01,2.929143e-02,2.164398e-01,1.823521e-01,5.494309e-02,2.913308e-01,1.778435e-01,5.246288e-02,2.870440e-01
