percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,1.647858e-03,2.715436e-06,3.268449e+00,1.909646e-03,3.646749e-06,4.033297e+00,1.921814e-03,3.693373e-06,3.889094e+00
44,1.696674e-03,2.878703e-06,3.339917e+00,1.984234e-03,3.937184e-06,4.120103e+00,1.972809e-03,3.891976e-06,3.968958e+00
45,1.742278e-03,3.035533e-06,3.403837e+00,2.044584e-03,4.180323e-06,4.240611e+00,2.008883e-03,4.035612e-06,4.059208e+00
46,1.781562e-03,3.173963e-06,3.474337e+00,2.093635e-03,4.383307e-06,4.359181e+00,2.068803e-03,4.279948e-06,4.196996e+00
47,1.822174e-03,3.320319e-06,3.582860e+00,2.160097e-03,4.666033e-06,4.441931e+00,2.128444e-03,4.530274e-06,4.272177e+00
48,1.879645e-03,3.533066e-06,3.682254e+00,2.215135e-03,4.906823e-06,4.505296e+00,2.182386e-03,4.762810e-06,4.367023e+00
49,1.922619e-03,3.696465e-06,3.761580e+00,2.242812e-03,5.030207e-06,4.582925e+00,2.262619e-03,5.119443e-06,4.493348e+00
50,1.961015e-03,3.845581e-06,3.851208e+00,2.289735e-03,5.242885e-06,4.641197e+00,2.321687e-03,5.390229e-06,4.590316e+00
51,2.010712e-03,4.042965e-06,3.950613e+00,2.376705e-03,5.648731e-06,4.725112e+00,2.377201e-03,5.651083e-06,4.680486e+00
52,2.063816e-03,4.259335e-06,4.047429e+00,2.466768e-03,6.084943e-06,4.793437e+00,2.444862e-03,5.977352e-06,4.811572e+00
53,2.108358e-03,4.445173e-06,4.137167e+00,2.518360e-03,6.342136e-06,4.930717e+00,2.498530e-03,6.242652e-06,4.981553e+00
54,2.168257e-03,4.701342e-06,4.228181e+00,2.571430e-03,6.612254e-06,5.091870e+00,2.579447e-03,6.653550e-06,5.120847e+00
55,2.225928e-03,4.954756e-06,4.323436e+00,2.634189e-03,6.938952e-06,5.221842e+00,2.654995e-03,7.048999e-06,5.239221e+00
56,2.279179e-03,5.194658e-06,4.427761e+00,2.744584e-03,7.532742e-06,5.311597e+00,2.741930e-03,7.518182e-06,5.475036e+00
57,2.335289e-03,5.453577e-06,4.528751e+00,2.822620e-03,7.967183e-06,5.439466e+00,2.810770e-03,7.900429e-06,5.634946e+00
58,2.389892e-03,5.711583e-06,4.644443e+00,2.875733e-03,8.269840e-06,5.563594e+00,2.877497e-03,8.279990e-06,5.754398e+00
59,2.458681e-03,6.045110e-06,4.749251e+00,2.983842e-03,8.903313e-06,5.682713e+00,2.935043e-03,8.614483e-06,5.894277e+00
60,2.516154e-03,6.331032e-06,4.872490e+00,3.042208e-03,9.255037e-06,5.843194e+00,3.039943e-03,9.241252e-06,6.019846e+00
61,2.572861e-03,6.619617e-06,4.964745e+00,3.158618e-03,9.976870e-06,5.994632e+00,3.111186e-03,9.679481e-06,6.172245e+00
62,2.634229e-03,6.939161e-06,5.074526e+00,3.227025e-03,1.041369e-05,6.092427e+00,3.185847e-03,1.014962e-05,6.317916e+00
63,2.700996e-03,7.295377e-06,5.175888e+00,3.327728e-03,1.107377e-05,6.276334e+00,3.267532e-03,1.067676e-05,6.471386e+00
64,2.767594e-03,7.659575e-06,5.282276e+00,3.399317e-03,1.155551e-05,6.495219e+00,3.366964e-03,1.133647e-05,6.588172e+00
65,2.845035e-03,8.094227e-06,5.413045e+00,3.469639e-03,1.203840e-05,6.645638e+00,3.452186e-03,1.191760e-05,6.743851e+00
66,2.912260e-03,8.481259e-06,5.525382e+00,3.591999e-03,1.290246e-05,6.770821e+00,3.565140e-03,1.271027e-05,6.896152e+00
67,2.976105e-03,8.857201e-06,5.674498e+00,3.675338e-03,1.350813e-05,6.928857e+00,3.676994e-03,1.352030e-05,7.040903e+00
68,3.064855e-03,9.393338e-06,5.813008e+00,3.772281e-03,1.423017e-05,7.142385e+00,3.759821e-03,1.413625e-05,7.196452e+00
69,3.151838e-03,9.934082e-06,5.936429e+00,3.907865e-03,1.527141e-05,7.305425e+00,3.861552e-03,1.491162e-05,7.307653e+00
70,3.229647e-03,1.043062e-05,6.101236e+00,4.005553e-03,1.604457e-05,7.486549e+00,3.964115e-03,1.571422e-05,7.474828e+00
71,3.316461e-03,1.099891e-05,6.248819e+00,4.103580e-03,1.683937e-05,7.651824e+00,4.075573e-03,1.661029e-05,7.640408e+00
72,3.413514e-03,1.165208e-05,6.378107e+00,4.193155e-03,1.758258e-05,7.903688e+00,4.198860e-03,1.763044e-05,7.843473e+00
73,3.504239e-03,1.227969e-05,6.525545e+00,4.343082e-03,1.886236e-05,8.139948e+00,4.327089e-03,1.872370e-05,8.120314e+00
74,3.590578e-03,1.289225e-05,6.682798e+00,4.548818e-03,2.069176e-05,8.379447e+00,4.459514e-03,1.988727e-05,8.250197e+00
75,3.705814e-03,1.373306e-05,6.872209e+00,4.706986e-03,2.215572e-05,8.639614e+00,4.581606e-03,2.099112e-05,8.496083e+00
76,3.831284e-03,1.467874e-05,7.056000e+00,4.806194e-03,2.309950e-05,8.860581e+00,4.766949e-03,2.272380e-05,8.700865e+00
77,3.945866e-03,1.556986e-05,7.223461e+00,4.972423e-03,2.472500e-05,9.151798e+00,4.890069e-03,2.391306e-05,8.916742e+00
78,4.069501e-03,1.656084e-05,7.406253e+00,5.126704e-03,2.628310e-05,9.415859e+00,5.119217e-03,2.620638e-05,9.316584e+00
79,4.177770e-03,1.745376e-05,7.619343e+00,5.255336e-03,2.761857e-05,9.586194e+00,5.288738e-03,2.797076e-05,9.633635e+00
80,4.287581e-03,1.838335e-05,7.810744e+00,5.422585e-03,2.940443e-05,9.749365e+00,5.448143e-03,2.968230e-05,9.897124e+00
81,4.400379e-03,1.936334e-05,8.017858e+00,5.597389e-03,3.133080e-05,1.018862e+01,5.690280e-03,3.237970e-05,1.013435e+01
82,4.527290e-03,2.049636e-05,8.226264e+00,5.836742e-03,3.406771e-05,1.046374e+01,5.887618e-03,3.466409e-05,1.044510e+01
83,4.673544e-03,2.184202e-05,8.423550e+00,6.167087e-03,3.803454e-05,1.073266e+01,6.131623e-03,3.759685e-05,1.072544e+01
84,4.816221e-03,2.319599e-05,8.708163e+00,6.460530e-03,4.173846e-05,1.109057e+01,6.376153e-03,4.065533e-05,1.120004e+01
85,4.951314e-03,2.451551e-05,8.949018e+00,6.728872e-03,4.527811e-05,1.137920e+01,6.756246e-03,4.564687e-05,1.150594e+01
86,5.136226e-03,2.638082e-05,9.251492e+00,7.157766e-03,5.123366e-05,1.174024e+01,7.125545e-03,5.077340e-05,1.215825e+01
87,5.324378e-03,2.834901e-05,9.583708e+00,7.406951e-03,5.486300e-05,1.204300e+01,7.478379e-03,5.592628e-05,1.264565e+01
88,5.560387e-03,3.091790e-05,9.871055e+00,7.815780e-03,6.108642e-05,1.254355e+01,8.065978e-03,6.506005e-05,1.313863e+01
89,5.818969e-03,3.386040e-05,1.028116e+01,8.177803e-03,6.687717e-05,1.296356e+01,8.642401e-03,7.469262e-05,1.389486e+01
90,6.103225e-03,3.724936e-05,1.065190e+01,8.715869e-03,7.596650e-05,1.360025e+01,9.203517e-03,8.470607e-05,1.474928e+01
91,6.390883e-03,4.084345e-05,1.106716e+01,9.158798e-03,8.388358e-05,1.430268e+01,1.003636e-02,1.007289e-04,1.550564e+01
92,6.722472e-03,4.519165e-05,1.139958e+01,9.746403e-03,9.499238e-05,1.487047e+01,1.098375e-02,1.206429e-04,1.617927e+01
93,7.066017e-03,4.992862e-05,1.194358e+01,1.070399e-02,1.145783e-04,1.548235e+01,1.174344e-02,1.379086e-04,1.682609e+01
94,7.395925e-03,5.469976e-05,1.254802e+01,1.180735e-02,1.394136e-04,1.636306e+01,1.339039e-02,1.793032e-04,1.820652e+01
95,7.972586e-03,6.356214e-05,1.320596e+01,1.275097e-02,1.625897e-04,1.755598e+01,1.495029e-02,2.235139e-04,1.998420e+01
96,8.602420e-03,7.400164e-05,1.409055e+01,1.441907e-02,2.079098e-04,1.938582e+01,1.747130e-02,3.053297e-04,2.187593e+01
97,9.589370e-03,9.195626e-05,1.547493e+01,1.652779e-02,2.731730e-04,2.103228e+01,2.039821e-02,4.160915e-04,2.470901e+01
98,1.079174e-02,1.164617e-04,1.726980e+01,2.056552e-02,4.229496e-04,2.344138e+01,2.470596e-02,6.103861e-04,3.002747e+01
99,1.344496e-02,1.807670e-04,1.996273e+01,2.517820e-02,6.339459e-04,2.878931e+01,3.639639e-02,1.324699e-03,4.241967e+01
100,7.796340e-02,6.078291e-03,6.669239e+01,7.284156e-02,5.305893e-03,7.471008e+01,1.016072e-01,1.032401e-02,6.842233e+01
