subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,7.913528e-02,8.360180e-03,9.023230e-01,9.063170e-02,1.122094e-02,9.536093e-01,8.502185e-02,9.783995e-03,1.016714e+00
p90,1.633100e-01,3.900272e-02,1.796613e+00,1.907979e-01,5.358822e-02,1.872808e+00,1.754382e-01,4.509411e-02,2.068934e+00
p95,1.794049e-01,4.855970e-02,1.911947e+00,2.096530e-01,6.671925e-02,2.061940e+00,1.927449e-01,5.612501e-02,2.228585e+00
p99,1.967946e-01,6.177522e-02,2.175451e+00,2.313078e-01,8.693610e-02,2.788208e+00,2.109752e-01,7.087217e-02,2.392039e+00
