subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,6.693363e-03,6.042860e-05,5.196057e-01,8.271184e-03,9.493191e-05,6.459649e-01,9.468580e-03,1.203552e-04,7.335228e-01
p90,1.471731e-02,3.327786e-04,1.113752e+00,1.951871e-02,6.224138e-04,1.472485e+00,2.313455e-02,8.913407e-04,1.707053e+00
p95,1.646316e-02,4.364821e-04,1.236238e+00,2.238737e-02,8.818542e-04,1.663448e+00,2.653603e-02,1.252273e-03,1.919219e+00
p99,1.840688e-02,5.893059e-04,1.361906e+00,2.601890e-02,1.371739e-03,1.895238e+00,3.085569e-02,1.949671e-03,2.181195e+00
