set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.028100106865167618,0.001320070936344564,0.14044435322284698,0.0022422675974667072,0.03297538682818413,0.9837616682052612
va,0.03813403472304344,0.0025898723397403955,0.1905938982963562,0.0030461924616247416,0.06469506770372391,0.9672051668167114
te,0.03767694532871246,0.002705823862925172,0.18830938637256622,0.0030389628373086452,0.06759151071310043,0.9635187387466431
