subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,4.650683e-02,2.919712e-03,4.275200e+00,5.819828e-02,4.622514e-03,5.754866e+00,6.610719e-02,5.975743e-03,6.215592e+00
p90,9.852592e-02,1.451900e-02,9.835682e+00,1.308713e-01,2.661822e-02,1.252174e+01,1.466121e-01,3.360463e-02,1.502754e+01
p95,1.094385e-01,1.870612e-02,1.093316e+01,1.486640e-01,3.695225e-02,1.856557e+01,1.672877e-01,4.734575e-02,1.727764e+01
p99,1.226035e-01,2.575068e-02,1.252015e+01,1.706753e-01,5.527826e-02,2.066246e+01,1.935592e-01,7.291581e-02,2.039474e+01
