percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,8.029290e-05,6.446949e-09,3.428049e-01,8.537091e-05,7.288193e-09,3.614290e-01,8.492675e-05,7.212558e-09,3.857622e-01
44,8.255932e-05,6.816042e-09,3.523515e-01,8.772627e-05,7.695897e-09,3.705000e-01,8.656256e-05,7.493076e-09,3.942163e-01
45,8.464381e-05,7.164575e-09,3.609351e-01,9.062141e-05,8.212244e-09,3.804943e-01,8.890815e-05,7.904661e-09,4.080597e-01
46,8.679360e-05,7.533132e-09,3.712066e-01,9.330437e-05,8.705705e-09,3.926681e-01,9.092785e-05,8.267878e-09,4.167375e-01
47,8.924030e-05,7.963831e-09,3.803553e-01,9.664163e-05,9.339605e-09,3.991508e-01,9.383395e-05,8.804812e-09,4.274771e-01
48,9.149529e-05,8.371388e-09,3.903306e-01,9.888902e-05,9.779041e-09,4.084243e-01,9.662323e-05,9.336057e-09,4.400800e-01
49,9.393603e-05,8.823977e-09,3.990996e-01,1.001856e-04,1.003715e-08,4.164035e-01,9.860279e-05,9.722515e-09,4.501073e-01
50,9.659305e-05,9.330217e-09,4.115101e-01,1.025647e-04,1.051952e-08,4.307564e-01,1.003454e-04,1.006919e-08,4.625378e-01
51,9.885512e-05,9.772336e-09,4.222445e-01,1.043077e-04,1.088010e-08,4.458057e-01,1.019001e-04,1.038362e-08,4.760197e-01
52,1.007967e-04,1.015998e-08,4.341172e-01,1.079183e-04,1.164637e-08,4.558201e-01,1.047021e-04,1.096253e-08,4.853828e-01
53,1.039185e-04,1.079905e-08,4.421308e-01,1.105733e-04,1.222647e-08,4.681766e-01,1.079400e-04,1.165105e-08,4.970729e-01
54,1.064770e-04,1.133735e-08,4.513030e-01,1.131598e-04,1.280513e-08,4.788980e-01,1.108593e-04,1.228978e-08,5.090251e-01
55,1.087293e-04,1.182206e-08,4.612289e-01,1.169685e-04,1.368164e-08,4.867408e-01,1.132915e-04,1.283496e-08,5.232664e-01
56,1.120171e-04,1.254783e-08,4.709266e-01,1.200971e-04,1.442331e-08,4.954337e-01,1.154725e-04,1.333391e-08,5.405670e-01
57,1.144673e-04,1.310275e-08,4.839564e-01,1.224322e-04,1.498965e-08,5.084103e-01,1.177778e-04,1.387165e-08,5.532847e-01
58,1.165262e-04,1.357835e-08,4.955981e-01,1.257313e-04,1.580836e-08,5.221214e-01,1.210316e-04,1.464867e-08,5.676586e-01
59,1.188319e-04,1.412103e-08,5.064082e-01,1.280729e-04,1.640268e-08,5.366703e-01,1.239005e-04,1.535134e-08,5.834245e-01
60,1.218315e-04,1.484292e-08,5.186109e-01,1.309000e-04,1.713489e-08,5.505470e-01,1.280751e-04,1.640325e-08,5.961042e-01
61,1.246129e-04,1.552837e-08,5.315988e-01,1.333884e-04,1.779247e-08,5.686746e-01,1.302720e-04,1.697079e-08,6.071412e-01
62,1.274150e-04,1.623458e-08,5.447182e-01,1.365615e-04,1.864906e-08,5.841125e-01,1.327088e-04,1.761164e-08,6.198436e-01
63,1.306893e-04,1.707969e-08,5.602116e-01,1.406213e-04,1.977435e-08,5.977199e-01,1.351341e-04,1.826123e-08,6.339890e-01
64,1.332391e-04,1.775266e-08,5.734675e-01,1.436250e-04,2.062814e-08,6.145172e-01,1.386441e-04,1.922218e-08,6.464311e-01
65,1.360245e-04,1.850267e-08,5.865977e-01,1.466107e-04,2.149469e-08,6.269144e-01,1.401786e-04,1.965003e-08,6.590852e-01
66,1.385260e-04,1.918946e-08,5.980843e-01,1.493561e-04,2.230735e-08,6.357180e-01,1.420435e-04,2.017635e-08,6.702584e-01
67,1.417086e-04,2.008131e-08,6.151647e-01,1.522122e-04,2.316856e-08,6.495323e-01,1.451718e-04,2.107487e-08,6.824956e-01
68,1.447858e-04,2.096294e-08,6.264067e-01,1.536801e-04,2.361759e-08,6.695150e-01,1.472970e-04,2.169641e-08,6.983452e-01
69,1.484562e-04,2.203926e-08,6.396077e-01,1.561420e-04,2.438032e-08,6.814883e-01,1.504624e-04,2.263892e-08,7.142641e-01
70,1.512952e-04,2.289024e-08,6.577682e-01,1.591735e-04,2.533619e-08,7.048345e-01,1.546197e-04,2.390725e-08,7.256619e-01
71,1.550613e-04,2.404402e-08,6.727970e-01,1.636061e-04,2.676696e-08,7.175336e-01,1.585466e-04,2.513701e-08,7.441748e-01
72,1.584025e-04,2.509137e-08,6.898975e-01,1.677569e-04,2.814238e-08,7.351833e-01,1.616363e-04,2.612630e-08,7.606895e-01
73,1.615130e-04,2.608646e-08,7.057148e-01,1.713412e-04,2.935782e-08,7.502358e-01,1.648232e-04,2.716669e-08,7.758186e-01
74,1.649950e-04,2.722337e-08,7.199604e-01,1.751523e-04,3.067837e-08,7.679192e-01,1.678716e-04,2.818089e-08,7.938910e-01
75,1.685694e-04,2.841564e-08,7.369087e-01,1.812205e-04,3.284086e-08,7.971867e-01,1.715119e-04,2.941634e-08,8.237950e-01
76,1.726341e-04,2.980254e-08,7.531980e-01,1.849541e-04,3.420805e-08,8.081513e-01,1.766963e-04,3.122160e-08,8.419713e-01
77,1.763283e-04,3.109169e-08,7.700924e-01,1.923358e-04,3.699308e-08,8.309601e-01,1.805667e-04,3.260434e-08,8.558955e-01
78,1.804964e-04,3.257896e-08,7.882097e-01,1.969083e-04,3.877287e-08,8.482964e-01,1.842789e-04,3.395887e-08,8.777866e-01
79,1.843078e-04,3.396935e-08,8.068703e-01,2.013423e-04,4.053871e-08,8.651383e-01,1.901175e-04,3.614515e-08,9.082536e-01
80,1.881752e-04,3.540991e-08,8.316843e-01,2.064358e-04,4.261576e-08,8.880468e-01,1.961397e-04,3.847078e-08,9.442102e-01
81,1.931752e-04,3.731665e-08,8.545094e-01,2.139223e-04,4.576305e-08,9.089836e-01,2.000092e-04,4.000369e-08,9.720859e-01
82,1.980487e-04,3.922327e-08,8.792473e-01,2.196643e-04,4.825239e-08,9.390195e-01,2.065978e-04,4.268269e-08,1.002469e+00
83,2.038052e-04,4.153656e-08,9.054779e-01,2.235557e-04,4.997716e-08,9.631971e-01,2.116790e-04,4.480802e-08,1.023518e+00
84,2.084865e-04,4.346661e-08,9.298561e-01,2.273067e-04,5.166836e-08,9.994724e-01,2.165268e-04,4.688388e-08,1.060302e+00
85,2.158418e-04,4.658770e-08,9.641644e-01,2.315080e-04,5.359643e-08,1.027626e+00,2.216512e-04,4.912927e-08,1.100347e+00
86,2.225092e-04,4.951035e-08,9.980746e-01,2.376263e-04,5.646626e-08,1.047910e+00,2.291791e-04,5.252307e-08,1.140537e+00
87,2.295610e-04,5.269827e-08,1.039089e+00,2.449945e-04,6.002235e-08,1.094071e+00,2.357142e-04,5.556129e-08,1.177938e+00
88,2.371131e-04,5.622262e-08,1.076684e+00,2.547023e-04,6.487330e-08,1.119803e+00,2.450839e-04,6.006610e-08,1.220524e+00
89,2.438307e-04,5.945340e-08,1.110670e+00,2.627388e-04,6.903170e-08,1.162952e+00,2.540851e-04,6.455923e-08,1.272027e+00
90,2.539415e-04,6.448629e-08,1.166140e+00,2.730422e-04,7.455236e-08,1.233813e+00,2.639875e-04,6.968940e-08,1.331097e+00
91,2.647407e-04,7.008766e-08,1.215254e+00,2.861461e-04,8.187967e-08,1.285887e+00,2.717661e-04,7.385683e-08,1.375085e+00
92,2.782191e-04,7.740589e-08,1.301215e+00,2.993537e-04,8.961271e-08,1.372261e+00,2.836940e-04,8.048230e-08,1.452877e+00
93,2.914567e-04,8.494698e-08,1.374534e+00,3.155893e-04,9.959745e-08,1.457044e+00,2.955902e-04,8.737359e-08,1.576666e+00
94,3.059728e-04,9.361939e-08,1.449229e+00,3.331339e-04,1.109782e-07,1.581838e+00,3.145109e-04,9.891714e-08,1.697598e+00
95,3.283106e-04,1.077878e-07,1.540255e+00,3.502797e-04,1.226959e-07,1.679627e+00,3.353318e-04,1.124476e-07,1.819426e+00
96,3.485854e-04,1.215118e-07,1.630317e+00,3.730662e-04,1.391785e-07,1.855254e+00,3.589885e-04,1.288727e-07,1.960146e+00
97,3.890014e-04,1.513222e-07,1.777790e+00,4.119019e-04,1.696635e-07,1.991178e+00,3.895778e-04,1.517709e-07,2.253821e+00
98,4.423361e-04,1.956615e-07,2.055717e+00,4.665153e-04,2.176365e-07,2.210771e+00,4.486568e-04,2.014970e-07,2.712423e+00
99,5.430897e-04,2.949464e-07,2.632294e+00,5.689836e-04,3.238003e-07,3.291413e+00,5.481868e-04,3.005117e-07,3.625383e+00
100,1.337938e-03,1.790078e-06,8.106132e+00,9.004530e-04,8.108155e-07,5.988013e+00,1.414077e-03,1.999615e-06,1.938015e+01
