subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,5.496423e-06,4.124233e-11,3.089518e-01,5.825076e-06,4.752545e-11,3.323778e-01,5.490906e-06,4.069603e-11,3.466062e-01
p90,1.168242e-05,2.028739e-10,6.322413e-01,1.274162e-05,2.457116e-10,6.796010e-01,1.188155e-05,2.123524e-10,7.117592e-01
p95,1.292153e-05,2.577535e-10,6.883951e-01,1.409951e-05,3.114267e-10,7.546714e-01,1.310432e-05,2.662551e-10,7.819897e-01
p99,1.429229e-05,3.370888e-10,7.490417e-01,1.554381e-05,3.998760e-10,8.234541e-01,1.439369e-05,3.385450e-10,8.506187e-01
