set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.02223001793026924,0.0010807373328134418,0.0027847541496157646,0.04986019432544708,1.6959547792794183e-05,0.960689902305603
va,0.031330406665802,0.0027609474491328,0.003924760036170483,0.06431795656681061,4.332636672188528e-05,0.9077045917510986
te,0.034730855375528336,0.00469139264896512,0.004350734408944845,0.06790061295032501,7.362001633737236e-05,0.8326813578605652
