percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,1.163029e-02,1.352636e-04,8.909022e-01,1.495837e-02,2.237528e-04,1.143733e+00,1.637565e-02,2.681621e-04,1.250003e+00
44,1.191681e-02,1.420103e-04,9.168226e-01,1.531570e-02,2.345707e-04,1.178967e+00,1.693447e-02,2.867763e-04,1.297972e+00
45,1.230993e-02,1.515344e-04,9.388173e-01,1.564074e-02,2.446326e-04,1.209035e+00,1.754256e-02,3.077416e-04,1.338087e+00
46,1.266531e-02,1.604102e-04,9.607267e-01,1.607566e-02,2.584270e-04,1.230880e+00,1.798320e-02,3.233960e-04,1.356266e+00
47,1.301680e-02,1.694371e-04,9.810402e-01,1.647762e-02,2.715124e-04,1.251021e+00,1.843520e-02,3.398567e-04,1.402900e+00
48,1.330235e-02,1.769524e-04,1.006846e+00,1.688466e-02,2.850917e-04,1.283261e+00,1.902717e-02,3.620335e-04,1.447203e+00
49,1.364270e-02,1.861233e-04,1.033199e+00,1.722587e-02,2.967306e-04,1.324572e+00,1.948472e-02,3.796542e-04,1.497572e+00
50,1.405478e-02,1.975367e-04,1.060136e+00,1.775074e-02,3.150888e-04,1.372589e+00,2.024579e-02,4.098920e-04,1.541653e+00
51,1.443666e-02,2.084170e-04,1.088820e+00,1.834927e-02,3.366957e-04,1.400684e+00,2.068147e-02,4.277233e-04,1.596954e+00
52,1.479815e-02,2.189852e-04,1.124372e+00,1.866603e-02,3.484206e-04,1.422444e+00,2.139081e-02,4.575668e-04,1.633768e+00
53,1.518057e-02,2.304497e-04,1.159044e+00,1.914357e-02,3.664762e-04,1.462190e+00,2.187387e-02,4.784660e-04,1.683308e+00
54,1.555471e-02,2.419491e-04,1.186478e+00,1.985205e-02,3.941051e-04,1.511456e+00,2.276557e-02,5.182718e-04,1.716821e+00
55,1.587839e-02,2.521233e-04,1.216203e+00,2.048895e-02,4.197972e-04,1.547647e+00,2.343414e-02,5.491595e-04,1.757962e+00
56,1.629829e-02,2.656344e-04,1.244817e+00,2.110047e-02,4.452299e-04,1.616266e+00,2.406707e-02,5.792242e-04,1.795680e+00
57,1.674681e-02,2.804556e-04,1.282067e+00,2.148712e-02,4.616964e-04,1.666759e+00,2.488403e-02,6.192152e-04,1.869733e+00
58,1.720504e-02,2.960135e-04,1.310224e+00,2.213761e-02,4.900743e-04,1.705692e+00,2.558859e-02,6.547761e-04,1.915970e+00
59,1.760903e-02,3.100779e-04,1.335480e+00,2.262611e-02,5.119424e-04,1.738766e+00,2.639761e-02,6.968340e-04,1.973533e+00
60,1.797676e-02,3.231640e-04,1.366864e+00,2.330997e-02,5.433554e-04,1.781926e+00,2.695382e-02,7.265084e-04,2.023856e+00
61,1.844252e-02,3.401266e-04,1.401138e+00,2.403986e-02,5.779150e-04,1.832470e+00,2.792853e-02,7.800026e-04,2.072463e+00
62,1.885342e-02,3.554515e-04,1.436030e+00,2.484507e-02,6.172773e-04,1.878825e+00,2.887404e-02,8.337102e-04,2.147153e+00
63,1.941762e-02,3.770440e-04,1.474884e+00,2.539522e-02,6.449179e-04,1.928404e+00,2.983124e-02,8.899033e-04,2.220731e+00
64,1.992456e-02,3.969881e-04,1.513864e+00,2.602699e-02,6.774043e-04,1.962619e+00,3.064322e-02,9.390077e-04,2.260709e+00
65,2.042441e-02,4.171567e-04,1.541628e+00,2.652035e-02,7.033290e-04,2.008492e+00,3.126006e-02,9.771916e-04,2.326935e+00
66,2.095703e-02,4.391972e-04,1.578769e+00,2.717606e-02,7.385383e-04,2.085557e+00,3.193821e-02,1.020049e-03,2.371146e+00
67,2.149925e-02,4.622179e-04,1.622867e+00,2.823337e-02,7.971230e-04,2.159296e+00,3.308546e-02,1.094647e-03,2.426307e+00
68,2.200176e-02,4.840776e-04,1.656513e+00,2.891376e-02,8.360065e-04,2.201416e+00,3.383556e-02,1.144845e-03,2.513995e+00
69,2.264060e-02,5.125966e-04,1.697381e+00,2.986469e-02,8.919000e-04,2.235148e+00,3.498872e-02,1.224211e-03,2.596183e+00
70,2.324874e-02,5.405041e-04,1.750208e+00,3.055868e-02,9.338333e-04,2.307321e+00,3.615906e-02,1.307478e-03,2.675862e+00
71,2.397544e-02,5.748219e-04,1.795098e+00,3.132025e-02,9.809584e-04,2.371061e+00,3.768821e-02,1.420401e-03,2.755846e+00
72,2.457773e-02,6.040649e-04,1.840034e+00,3.191195e-02,1.018372e-03,2.429805e+00,3.884062e-02,1.508595e-03,2.844747e+00
73,2.520453e-02,6.352683e-04,1.881333e+00,3.264614e-02,1.065771e-03,2.483915e+00,4.089682e-02,1.672553e-03,2.925037e+00
74,2.583647e-02,6.675233e-04,1.935615e+00,3.362638e-02,1.130735e-03,2.539679e+00,4.228034e-02,1.787631e-03,3.005224e+00
75,2.667415e-02,7.115104e-04,1.980142e+00,3.432703e-02,1.178345e-03,2.579311e+00,4.388940e-02,1.926280e-03,3.089513e+00
76,2.741213e-02,7.514248e-04,2.034338e+00,3.559049e-02,1.266684e-03,2.661879e+00,4.508164e-02,2.032355e-03,3.203755e+00
