subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,4.570411e-05,2.832150e-09,2.115101e-01,4.865179e-05,3.229459e-09,2.233443e-01,4.891688e-05,3.216049e-09,2.449594e-01
p90,9.555582e-05,1.344338e-08,4.337722e-01,1.025413e-04,1.557295e-08,4.676230e-01,9.951196e-05,1.440184e-08,4.912840e-01
p95,1.056030e-04,1.707517e-08,4.776022e-01,1.133870e-04,1.980696e-08,5.084021e-01,1.097541e-04,1.821480e-08,5.464600e-01
p99,1.175619e-04,2.304094e-08,5.260226e-01,1.259721e-04,2.642985e-08,5.687757e-01,1.218064e-04,2.436801e-08,6.136613e-01
