subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,1.200396e-01,1.958080e-02,6.753817e-01,1.406305e-01,2.649498e-02,7.845772e-01,1.301932e-01,2.318208e-02,6.856335e-01
p90,2.504537e-01,9.231950e-02,1.490901e+00,2.804711e-01,1.128506e-01,1.558077e+00,2.731670e-01,1.092332e-01,1.467180e+00
p95,2.754588e-01,1.152594e-01,1.646055e+00,3.074605e-01,1.403083e-01,1.763215e+00,2.992412e-01,1.346428e-01,1.617458e+00
p99,3.025182e-01,1.470859e-01,1.869291e+00,3.382797e-01,1.817249e-01,1.947111e+00,3.268075e-01,1.686246e-01,1.846705e+00
