percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,5.855398e-03,3.428569e-05,6.462904e-01,7.063270e-03,4.988978e-05,7.696342e-01,7.156672e-03,5.121797e-05,7.608610e-01
44,6.014383e-03,3.617280e-05,6.623362e-01,7.208102e-03,5.195673e-05,7.837235e-01,7.405195e-03,5.483692e-05,7.825756e-01
45,6.183326e-03,3.823352e-05,6.824131e-01,7.368410e-03,5.429348e-05,8.024941e-01,7.546055e-03,5.694296e-05,8.010947e-01
46,6.342371e-03,4.022567e-05,6.975550e-01,7.556205e-03,5.709624e-05,8.200745e-01,7.749627e-03,6.005674e-05,8.193886e-01
47,6.513245e-03,4.242236e-05,7.190668e-01,7.746732e-03,6.001186e-05,8.382657e-01,7.923357e-03,6.277960e-05,8.406377e-01
48,6.693072e-03,4.479722e-05,7.372005e-01,7.859817e-03,6.177684e-05,8.656615e-01,8.079014e-03,6.527048e-05,8.650967e-01
49,6.854117e-03,4.697892e-05,7.565782e-01,8.058593e-03,6.494098e-05,8.861128e-01,8.282310e-03,6.859665e-05,8.801196e-01
50,7.026553e-03,4.937245e-05,7.782701e-01,8.200407e-03,6.724668e-05,9.012824e-01,8.517385e-03,7.254584e-05,9.064240e-01
51,7.227626e-03,5.223858e-05,7.974460e-01,8.429523e-03,7.105710e-05,9.351779e-01,8.879819e-03,7.885125e-05,9.298487e-01
52,7.393527e-03,5.466424e-05,8.159257e-01,8.555069e-03,7.318921e-05,9.570542e-01,9.162614e-03,8.395350e-05,9.537465e-01
53,7.587943e-03,5.757688e-05,8.381221e-01,8.738680e-03,7.636453e-05,9.692988e-01,9.335639e-03,8.715419e-05,9.814028e-01
54,7.752287e-03,6.009796e-05,8.599005e-01,8.911123e-03,7.940812e-05,1.000578e+00,9.601409e-03,9.218708e-05,9.978240e-01
55,7.916546e-03,6.267170e-05,8.784466e-01,9.105659e-03,8.291309e-05,1.022852e+00,9.770066e-03,9.545420e-05,1.013833e+00
56,8.092716e-03,6.549205e-05,8.983002e-01,9.284635e-03,8.620444e-05,1.039766e+00,9.968936e-03,9.937970e-05,1.034309e+00
57,8.284991e-03,6.864107e-05,9.177402e-01,9.512544e-03,9.048854e-05,1.054446e+00,1.028441e-02,1.057691e-04,1.056975e+00
58,8.507366e-03,7.237528e-05,9.399126e-01,9.830298e-03,9.663481e-05,1.087653e+00,1.044804e-02,1.091616e-04,1.082048e+00
59,8.658686e-03,7.497285e-05,9.577673e-01,1.001766e-02,1.003536e-04,1.111980e+00,1.087171e-02,1.181941e-04,1.104015e+00
60,8.853972e-03,7.839282e-05,9.784251e-01,1.016016e-02,1.032289e-04,1.128561e+00,1.109521e-02,1.231038e-04,1.126056e+00
61,9.048233e-03,8.187052e-05,9.985798e-01,1.042588e-02,1.086990e-04,1.170110e+00,1.137751e-02,1.294480e-04,1.148180e+00
62,9.272697e-03,8.598291e-05,1.014970e+00,1.063323e-02,1.130657e-04,1.187637e+00,1.179518e-02,1.391263e-04,1.169402e+00
63,9.464207e-03,8.957121e-05,1.037763e+00,1.092087e-02,1.192655e-04,1.215520e+00,1.212209e-02,1.469452e-04,1.200185e+00
64,9.670215e-03,9.351305e-05,1.052405e+00,1.121120e-02,1.256911e-04,1.243817e+00,1.244858e-02,1.549672e-04,1.242033e+00
65,9.920931e-03,9.842487e-05,1.079045e+00,1.165599e-02,1.358620e-04,1.278699e+00,1.278922e-02,1.635641e-04,1.269536e+00
66,1.016833e-02,1.033949e-04,1.105708e+00,1.198290e-02,1.435899e-04,1.300117e+00,1.313559e-02,1.725438e-04,1.296547e+00
67,1.033727e-02,1.068591e-04,1.129722e+00,1.227400e-02,1.506511e-04,1.332833e+00,1.330554e-02,1.770375e-04,1.314852e+00
68,1.057642e-02,1.118608e-04,1.154723e+00,1.243727e-02,1.546859e-04,1.361448e+00,1.354516e-02,1.834714e-04,1.352067e+00
69,1.080961e-02,1.168477e-04,1.181749e+00,1.278204e-02,1.633806e-04,1.385582e+00,1.373031e-02,1.885216e-04,1.372738e+00
