percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
43,4.495492e-03,2.020945e-05,2.756595e-01,5.728650e-03,3.281744e-05,3.469072e-01,5.624204e-03,3.163167e-05,3.413408e-01
44,4.610586e-03,2.125751e-05,2.823683e-01,5.833683e-03,3.403186e-05,3.551805e-01,5.749431e-03,3.305596e-05,3.486514e-01
45,4.731393e-03,2.238608e-05,2.908946e-01,5.983114e-03,3.579769e-05,3.650051e-01,5.939007e-03,3.527180e-05,3.579320e-01
46,4.845691e-03,2.348072e-05,2.987542e-01,6.106920e-03,3.729448e-05,3.790785e-01,6.087852e-03,3.706194e-05,3.657988e-01
47,4.964876e-03,2.465000e-05,3.054681e-01,6.272569e-03,3.934530e-05,3.892141e-01,6.176193e-03,3.814536e-05,3.767133e-01
48,5.079384e-03,2.580014e-05,3.120109e-01,6.449804e-03,4.159998e-05,3.982712e-01,6.373134e-03,4.061690e-05,3.884553e-01
49,5.215554e-03,2.720201e-05,3.186614e-01,6.587782e-03,4.339887e-05,4.105794e-01,6.629341e-03,4.394820e-05,4.002959e-01
50,5.348444e-03,2.860585e-05,3.273017e-01,6.783485e-03,4.601567e-05,4.209431e-01,6.771922e-03,4.585893e-05,4.120865e-01
51,5.474172e-03,2.996656e-05,3.351137e-01,6.982393e-03,4.875387e-05,4.293007e-01,6.927106e-03,4.798495e-05,4.205486e-01
52,5.591016e-03,3.125946e-05,3.430112e-01,7.219276e-03,5.211796e-05,4.401161e-01,7.086635e-03,5.022040e-05,4.294639e-01
53,5.715013e-03,3.266139e-05,3.522142e-01,7.421780e-03,5.508301e-05,4.500538e-01,7.208233e-03,5.195862e-05,4.366181e-01
54,5.850143e-03,3.422418e-05,3.595486e-01,7.583485e-03,5.750926e-05,4.602965e-01,7.374511e-03,5.438341e-05,4.469578e-01
55,5.969810e-03,3.563864e-05,3.678819e-01,7.774687e-03,6.044576e-05,4.745958e-01,7.557678e-03,5.711850e-05,4.593156e-01
