subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,1.105773e-03,1.669735e-06,4.414351e-01,1.298704e-03,2.385882e-06,5.066805e-01,1.308034e-03,2.325931e-06,5.230768e-01
p90,2.340165e-03,8.140397e-06,9.365882e-01,2.793112e-03,1.175552e-05,1.098662e+00,2.771053e-03,1.146971e-05,1.108184e+00
p95,2.584200e-03,1.028512e-05,1.033349e+00,3.089316e-03,1.490015e-05,1.215329e+00,3.086163e-03,1.491921e-05,1.237714e+00
p99,2.864462e-03,1.359062e-05,1.139798e+00,3.443149e-03,2.008500e-05,1.366273e+00,3.477224e-03,2.111823e-05,1.396269e+00
