subset,tr_mae,tr_mse,tr_mape,va_mae,va_mse,va_mape,te_mae,te_mse,te_mape
p50,3.404023e-03,1.550553e-05,4.013704e-01,4.008268e-03,2.162118e-05,4.763910e-01,4.077744e-03,2.230976e-05,4.527540e-01
p90,7.073907e-03,7.383842e-05,7.993127e-01,8.275348e-03,1.009043e-04,9.217399e-01,8.857560e-03,1.185993e-04,9.099776e-01
p95,7.828483e-03,9.416819e-05,8.682777e-01,9.142307e-03,1.280705e-04,9.930993e-01,9.910369e-03,1.564143e-04,9.987384e-01
p99,8.660785e-03,1.234259e-04,9.346012e-01,1.015603e-02,1.709024e-04,1.073351e+00,1.115103e-02,2.179979e-04,1.095266e+00
