set,mae_y,mse_y,mae_of,mape_of,mse_of,r2_of
tr,0.0032486834097653627,1.9347922716406174e-05,0.00012334424536675215,0.0054984502494335175,2.78905591954981e-08,0.9994531273841858
va,0.0034804765600711107,2.1957124772598036e-05,0.0001321448798989877,0.005948987323790789,3.1651804732746314e-08,0.999372124671936
te,0.0033980810549110174,2.202735595346894e-05,0.00012901646550744772,0.006544510368257761,3.1753032203596376e-08,0.9992856383323669
