#CASE,DOF_ALFAIN_BC_,DOF_PITCH_BC_,DOF_RE2IS_BC_,DOF_MA2IS_BC_,DOF_ARATIO_BC_,DOF_BETA1_G0_,DOF_BETA2_G0_,DOF_W1_G0_,DOF_W2_G0_,DOF_RTE_G1_,DOF_TMAXU_G1_,DOF_TMAXL_G1_,DOF_TMOVXU_G1_,DOF_TMOVXL_G1_,DOF_TUCP2_G2_,DOF_TUCP3_G2_,DOF_SUCP3_G2_,DOF_TUCP5_G2_,DOF_SUCP5_G2_,DOF_TLCP5_G2_,DOF_SLCP5_G2_,OF_alfa_ex_FL_OP_01,OF_Cpt_FL_OP_01,OF_CSI_FL_OP_01,OF_phi_FL_OP_01,OF_psi_FL_OP_01,OF_Zwc_FL_OP_01,OF_DFss_mis_LO_OP_01,OF_Ds_cp_LO_OP_01,OF_Tmax_GM_OP_01,OF_X_Tmax_GM_OP_01,OF_Wedge_TE_GM_OP_01,OF_UGT_GM_OP_01,OF_Area_GM_OP_01
224220,21.136,0.09271277976,161040.0,0.51206,0.9694492,16.864245,-62.3322676,0.07781372,0.7587204,0.001770443,0.01516493,0.009101887,0.16758,0.1315952,0.4009244,0.6453923,0.1321786,0.5019569,0.524683,0.5356613,0.6616383,-62.823,0.04187,0.03789,0.6405647672,1.49527178,0.7976620123,1.2439,0.9821,0.0206233263,0.390960008,11.52613353,13.6127367,0.00189684844
224222,29.105,0.06084489364,229200.0,0.59799,1.117105,29.2079946,-64.535398,0.4153137,0.3680954,0.00166888,0.009883682,0.01320345,0.1730488,0.00581398,0.3352994,0.6869548,0.1453036,0.4785194,0.6145267,0.3575363,0.7124195,-61.969,0.05709,0.04997,0.7566775073,1.842495582,0.6810971672,1.1378,1.3429,0.0189164616,0.325374931,9.93666696,19.8267784,0.00153641612
224223,29.73,0.06190975595,74830.0,0.50424,1.14523,17.33299,-63.8478976,0.5653137,0.3055954,0.00175013,0.02125868,0.007734699,-0.02382622,-0.01606102,0.3727994,0.7107048,0.09280365,0.3222694,0.6614017,0.5200363,0.6030445,-64.156,0.07832,0.07131,0.6695826375,1.764775977,0.6853321421,1.0966,1.0847,0.0246589035,0.221760035,9.52508998,15.7847948,0.00192866556
224226,29.417,0.08523948402,176230.0,0.51987,1.243668,3.27049,-55.754148,0.6403137,0.0243454,0.0009782555,0.02694618,0.008281574,0.03086128,-0.1144985,0.4040494,0.9363298,0.1565536,0.6191444,0.7473392,0.3637863,0.579607,-64.427,0.06822,0.0617,0.6553829197,1.73909107,1.05674892,1.3338,0.9129,0.0318271592,0.247260049,30.91395138,13.8019028,0.00268713618
224229,23.812,0.07005340456,70080.0,0.61655,1.003727,23.83689959,-60.05688,0.1137512,0.2137985,0.001493685,0.0171454,0.01022982,0.03564644,-0.05639305,0.3505338,0.6223845,0.08178802,0.6435585,0.5730228,0.4508957,0.5840015,-63.944,0.06207,0.05393,0.6234704728,1.550278476,0.5964308098,1.1583,1.1765,0.0229741037,0.264860094,13.76502963,10.2949591,0.00197038753
224230,26.624,0.08853606413,206720.0,0.72592,1.214664,12.8994,-63.15063,0.4887512,0.2450485,0.00153431,0.0179579,0.005307941,0.06845894,0.02016945,0.3692838,0.9430095,0.138038,0.2841835,0.7058353,0.4571457,0.544939,-62.635,0.04476,0.03683,0.698911349,1.700709964,1.006700289,1.2274,1.4493,0.0213706158,0.264860123,7.184722064,20.255827,0.00167845481
224231,24.124,0.07529486261,158660.0,0.60092,1.327164,20.3994,-59.90063,0.2887512,0.4950485,0.00120931,0.0244579,0.009682941,-0.01904106,-0.06733055,0.4192838,0.8480095,0.168038,0.4091835,0.5183353,0.4071457,0.607439,-63.45,0.06169,0.05396,0.6437120053,1.576539894,0.9592994624,1.7806,1.9343,0.0302745104,0.22175993,11.35362267,12.7345219,0.00215774402
224233,20.374,0.06584660347,135250.0,0.66342,1.158414,-8.3506,-56.52563,0.5887512,0.6200485,0.00104681,0.0147079,0.007495441,0.1122089,-0.02358055,0.2942838,0.8005095,0.183038,0.7216835,0.5495853,0.5321457,0.513689,-62.3,0.05511,0.04682,0.6521714539,1.484407138,0.68657521,1.1474,1.0573,0.0190232042,0.345015079,14.22266005,7.63046837,0.00158506364
224235,28.655,0.07118711125,88780.0,0.63999,1.067008,20.55565,-69.6975,0.4012512,0.1356735,0.001067123,0.01348915,0.008315754,-0.1120098,-0.0618618,0.3161588,0.699572,0.09491302,0.448246,0.5613041,0.5352707,0.7050953,-64.141,0.05268,0.04523,0.6593213228,1.720590252,0.6750997573,1.1896,1.8525,0.0187208895,0.173999995,9.05247545,22.9369392,0.00150248047
224239,24.358,0.120171996,134210.0,0.54233,1.154898,28.44627,-75.06469,0.3325012,0.627861,0.0007116539,0.01653603,0.008452473,-0.1475567,0.05024757,0.3052213,0.6906657,0.1914755,0.6630898,0.5671635,0.5462082,0.6367359,-62.587,0.05552,0.04972,0.6777877356,1.613718542,1.337282509,1.3785,0.8612,0.0216110088,0.213499948,13.21397972,38.7916145,0.00191644405
